plz,name,canton,canton_name,municipality
3993,Grengiols,VS,Valais / Wallis,
3994,Lax,VS,Valais / Wallis,
3994,Martisberg,VS,Valais / Wallis,
3995,Ausserbinn,VS,Valais / Wallis,
3995,Ernen,VS,Valais / Wallis,
3995,Mühlebach (Goms),VS,Valais / Wallis,
3995,Steinhaus,VS,Valais / Wallis,
3996,Binn,VS,Valais / Wallis,
3997,Bellwald,VS,Valais / Wallis,
3998,Gluringen,VS,Valais / Wallis,
3998,Reckingen VS,VS,Valais / Wallis,
3999,Oberwald,VS,Valais / Wallis,
4001,Basel,BS,Basel-Stadt,
4031,Basel,BS,Basel-Stadt,
4051,Basel,BS,Basel-Stadt,
4052,Basel,BS,Basel-Stadt,
4053,Basel,BS,Basel-Stadt,
4054,Basel,BS,Basel-Stadt,
4055,Basel,BS,Basel-Stadt,
4056,Basel,BS,Basel-Stadt,
4057,Basel,BS,Basel-Stadt,
4058,Basel,BS,Basel-Stadt,
4059,Basel,BS,Basel-Stadt,
4101,Bruderholz,BL,Basel-Landschaft,
4102,Binningen,BL,Basel-Landschaft,
4103,Bottmingen,BL,Basel-Landschaft,
4104,Oberwil BL,BL,Basel-Landschaft,
4105,Biel-Benken BL,SO,Solothurn,
4106,Therwil,BL,Basel-Landschaft,
4107,Ettingen,BL,Basel-Landschaft,
4108,Witterswil,SO,Solothurn,
4112,Bättwil,SO,Solothurn,
4112,Flüh,SO,Solothurn,
4114,Hofstetten SO,SO,Solothurn,
4115,Mariastein,SO,Solothurn,
4116,Metzerlen,SO,Solothurn,
4117,Burg im Leimental,BL,Basel-Landschaft,
4118,Rodersdorf,SO,Solothurn,
4123,Allschwil,BL,Basel-Landschaft,
4124,Schönenbuch,BL,Basel-Landschaft,
4125,Riehen,BS,Basel-Stadt,
4126,Bettingen,BS,Basel-Stadt,
4127,Birsfelden,BL,Basel-Landschaft,
4132,Muttenz,BL,Basel-Landschaft,
4133,Pratteln,BL,Basel-Landschaft,
4142,Münchenstein,BL,Basel-Landschaft,
4143,Dornach,SO,Solothurn,
4144,Arlesheim,BL,Basel-Landschaft,
